id,brand,model,year,variant_name,trim,segment,body_type,doors,seats,fuel_type,engine_type,cubic_capacity_cc,cylinders,aspiration,cylinder_config,power_kw,power_hp,torque_nm,transmission_type,gears,drive_type,length_mm,width_mm,height_mm,wheelbase_mm,curb_weight_kg,top_speed_kmh,acceleration_0_100_s,fuel_consumption_combined,fuel_consumption_city,fuel_consumption_highway,co2_emissions_gkm,price_eur,features,is_ev,is_hybrid,is_phev,is_supercar,is_truck,safety_rating_euroncap
305,Alfa Romeo,Giulia,2020,2020 Alfa Romeo Giulia 2.0T 280hp Veloce specs,2.0T 280hp Veloce,Sedan,"4-doors, sedan",4,5,gasoline,Inline 4-cylinder naturally aspirated gasoline,1995,4,naturally aspirated,Inline,206,280,400,automatic,8,rear,4650,1860,1436,2820,1404,240,5.7,10.0,10.0,10.0,144,61370.0,"[""ABS"", ""Brake Force Distribution"", ""Brake Assist"", ""Emergency Braking Assistance"", ""Blind Spot Assist"", ""Stability Control"", ""Traction Control"", ""Driver's Airbag"", ""Passenger Airbag"", ""Side Airbags (front)"", ""Head / Curtain Airbags (front & rear)"", ""Driver's Knee Airbag"", ""Hill Assist"", ""Lane Assist"", ""Blind Spot Assistant"", ""Fatigue Sensor"", ""Tire Pressure Sensor"", ""High Beam Assistant"", ""Traffic Sign Recognition"", ""Collision Warning System"", ""Central Door Locking"", ""Keyless Entry/start (start)"", ""Start Button"", ""Electric Windows (front & rear)"", ""Power Steering"", ""Cruise Control (dynamisch)"", ""Air Conditioning (automatically)"", ""Left/right Temperature Control"", ""Parking Sensors (front & rear)"", ""Reverse Camera"", ""Electric Parking Brake"", ""Start / Stop System"", ""Height Adjustment Seat (best. & pass.)"", ""Electric Adjustment Seat"", ""Heated Seats"", ""Sports Seats"", ""Leather Covered Steering Wheel"", ""Adjustable Steering Wheel (height & depth)"", ""Heated Steering Wheel"", ""Leather Upholstery"", ""Rear Headrests"", ""Folding Rear Seats (in parts)"", ""Center Armrest (front & rear)"", ""Automatically Dimming Interior Mirror"", ""Reading Lamp(s) (front & rear)"", ""Illuminated Makeup Mirror"", ""Adjustable Dashboard Lighting"", ""Tachometer"", ""Day Counter"", ""Cooling Water Temperature Gauge"", ""Outside Temperature Gauge"", ""Board Computer"", ""Audio System"", ""Digital Radio (DAB)"", ""Steering Wheel Controls For Audio"", ""Audio Input (aux & usb)"", ""Navigation System (with color display)"", ""Bluetooth"", ""Interval Wiper (s) (with rain sensor)"", ""Alloy Wheels"", ""Panoramic Roof"", ""Metallic Paint"", ""Painted Bumpers"", ""Tinted Glass"", ""Rear Privacy Glass"", ""Electric Mirrors (and heated)"", ""Folding Exterior Mirrors"", ""Automatically Dimming Exterior Mirrors"", ""Front Fog Lights"", ""Automatically Switching On Lighting"", ""Xenon Headlights"", ""LED Rear Lighting"", ""Daytime Running Lights"", ""Headlamp Washers"", ""Burglar Alarm"", ""Net Price"", ""BPM (fixed)""]",False,False,False,False,False,5
735,Audi,e-tron Sportback,2020,2020 Audi E-tron Sportback 50 Quattro Business Edition specs,50 Quattro Business Edition,SUV,"5-doors, suv/crossover",5,5,electric,electric motor,,,,,230,313,540,automatic,,front+rear,4901,1935,1618,2928,2375,190,6.8,0.0,,,0,69850.0,"[""ABS"", ""Brake Force Distribution"", ""Brake Assist"", ""Emergency Braking Assistance"", ""Stability Control"", ""Traction Control"", ""Limited Slip Differential"", ""Driver's Airbag"", ""Passenger Airbag"", ""Side Airbags (front)"", ""Head / Curtain Airbags (front & rear)"", ""Hill Assist"", ""Lane Assist"", ""Tire Pressure Sensor"", ""City ??safety System"", ""Night Vision With Person Recognition"", ""Precrash System"", ""Traffic Sign Recognition"", ""Collision Warning System"", ""Central Door Locking"", ""Keyless Entry/start (start)"", ""Start Button"", ""Control Circuit"", ""Electric Windows (front & rear)"", ""Power Steering"", ""Cruise Control"", ""Air Conditioning (automatically)"", ""Left/right Temperature Control"", ""Parking Sensors (front & rear)"", ""Reverse Camera"", ""Parking Machine"", ""Electric Parking Brake"", ""Start / Stop System"", ""Height Adjustment Seat (best. & pass.)"", ""Lumbar Support Seat (best. & pass.)"", ""Electric Adjustment Seat (with memory)"", ""Heated Seats"", ""Ventilated Seats"", ""Sports Seats"", ""Leather Covered Steering Wheel"", ""Adjustable Steering Wheel (height & depth)"", ""Leather Upholstery"", ""Rear Headrests"", ""Folding Rear Seats (in parts)"", ""Center Armrest (front & rear)"", ""Automatically Dimming Interior Mirror"", ""Reading Lamp(s) (front & rear)"", ""Illuminated Makeup Mirror"", ""Adjustable Dashboard Lighting"", ""Tachometer"", ""Day Counter"", ""Cooling Water Temperature Gauge"", ""Outside Temperature Gauge"", ""Board Computer"", ""Audio System"", ""Digital Radio (DAB)"", ""Steering Wheel Controls For Audio"", ""Audio Input (aux & usb)"", ""Navigation System (with color display)"", ""Bluetooth"", ""Interval Wiper (s) (with rain sensor)"", ""Alloy Wheels"", ""Panoramic Roof"", ""Roof Rails"", ""Metallic Paint"", ""Painted Bumpers"", ""Tinted Glass"", ""Rear Privacy Glass"", ""Electric Mirrors (and heated)"", ""Folding Exterior Mirrors"", ""Automatically Dimming Exterior Mirrors"", ""Direction Indicator In Exterior Mirrors"", ""Front Fog Lights"", ""Automatically Switching On Lighting"", ""Led Headlights"", ""LED Rear Lighting"", ""Daytime Running Lights"", ""Burglar Alarm"", ""Net Price"", ""BPM (fixed)""]",True,False,False,False,False,5
737,Audi,e-tron Sportback,2020,2020 Audi E-tron Sportback 50 Quattro Business Edition Plus specs,50 Quattro Business Edition Plus,SUV,"5-doors, suv/crossover",5,5,electric,electric motor,,,,,230,313,540,automatic,,front+rear,4901,1935,1618,2928,2375,190,6.8,0.0,,,0,74350.0,"[""ABS"", ""Brake Force Distribution"", ""Brake Assist"", ""Emergency Braking Assistance"", ""Blind Spot Assist"", ""Stability Control"", ""Traction Control"", ""Limited Slip Differential"", ""Driver's Airbag"", ""Passenger Airbag"", ""Side Airbags (front)"", ""Head / Curtain Airbags (front & rear)"", ""Hill Assist"", ""Lane Assist"", ""Blind Spot Assistant"", ""Tire Pressure Sensor"", ""City ??safety System"", ""Night Vision With Person Recognition"", ""Precrash System"", ""Traffic Sign Recognition"", ""Collision Warning System"", ""Central Door Locking"", ""Keyless Entry/start (start)"", ""Start Button"", ""Control Circuit"", ""Electric Windows (front & rear)"", ""Power Steering"", ""Cruise Control (dynamisch)"", ""Air Conditioning (automatically)"", ""Left/right Temperature Control"", ""Parking Sensors (front & rear)"", ""Reverse Camera"", ""Parking Machine"", ""Electric Parking Brake"", ""Start / Stop System"", ""Height Adjustment Seat (best. & pass.)"", ""Lumbar Support Seat (best. & pass.)"", ""Electric Adjustment Seat (with memory)"", ""Heated Seats"", ""Ventilated Seats"", ""Sports Seats"", ""Leather Covered Steering Wheel"", ""Adjustable Steering Wheel (height & depth)"", ""Leather Upholstery"", ""Rear Headrests"", ""Folding Rear Seats (in parts)"", ""Center Armrest (front & rear)"", ""Automatically Dimming Interior Mirror"", ""Reading Lamp(s) (front & rear)"", ""Illuminated Makeup Mirror"", ""Adjustable Dashboard Lighting"", ""Tachometer"", ""Day Counter"", ""Cooling Water Temperature Gauge"", ""Outside Temperature Gauge"", ""Board Computer"", ""Audio System"", ""Digital Radio (DAB)"", ""Steering Wheel Controls For Audio"", ""Audio Input (aux & usb)"", ""Navigation System (with color display)"", ""Bluetooth"", ""Interval Wiper (s) (with rain sensor)"", ""Alloy Wheels"", ""Panoramic Roof"", ""Roof Rails"", ""Metallic Paint"", ""Painted Bumpers"", ""Tinted Glass"", ""Rear Privacy Glass"", ""Electric Mirrors (and heated)"", ""Folding Exterior Mirrors"", ""Automatically Dimming Exterior Mirrors"", ""Direction Indicator In Exterior Mirrors"", ""Front Fog Lights"", ""Automatically Switching On Lighting"", ""Led Headlights"", ""LED Rear Lighting"", ""Daytime Running Lights"", ""Burglar Alarm"", ""Net Price"", ""BPM (fixed)""]",True,False,False,False,False,5
1162,BMW,5 series,2020,2020 BMW M550i XDrive specs,M550i XDrive,Sedan,"4-doors, sedan",4,5,gasoline,V 8-cylinder naturally aspirated gasoline,4395,8,naturally aspirated,V,390,530,750,automatic,8,front+rear,4972,1868,1467,2975,1890,250,3.8,9.7,13.1,7.7,221,134789.0,"[""ABS"", ""Brake Force Distribution"", ""Brake Assist"", ""Stability Control"", ""Traction Control"", ""Driver's Airbag"", ""Passenger Airbag"", ""Side Airbags (front)"", ""Head / Curtain Airbags (front & rear)"", ""Hill Assist"", ""Tire Pressure Sensor"", ""City ??safety System"", ""Precrash System"", ""High Beam Assistant"", ""Collision Warning System"", ""Central Door Locking"", ""Keyless Entry/start (start)"", ""Start Button"", ""Control Circuit"", ""Electric Windows (front & rear)"", ""Power Steering"", ""Cruise Control"", ""Air Conditioning (automatically)"", ""Left/right Temperature Control"", ""Parking Sensors (front & rear)"", ""Electric Parking Brake"", ""Start / Stop System"", ""Height Adjustment Seat (best. & pass.)"", ""Lumbar Support Seat"", ""Electric Adjustment Seat (with memory)"", ""Heated Seats"", ""Ventilated Seats"", ""Sports Seats"", ""Leather Covered Steering Wheel"", ""Adjustable Steering Wheel (height & depth)"", ""Heated Steering Wheel"", ""Leather Upholstery"", ""Rear Headrests"", ""Folding Rear Seats (in parts)"", ""Center Armrest (front & rear)"", ""Automatically Dimming Interior Mirror"", ""Reading Lamp(s) (front & rear)"", ""Illuminated Makeup Mirror"", ""Adjustable Dashboard Lighting"", ""Tachometer"", ""Day Counter"", ""Cooling Water Temperature Gauge"", ""Outside Temperature Gauge"", ""Board Computer"", ""Audio System"", ""Digital Radio (DAB)"", ""Steering Wheel Controls For Audio"", ""Audio Input (aux & usb)"", ""Navigation System (with color display)"", ""Bluetooth"", ""Interval Wiper (s) (with rain sensor)"", ""Alloy Wheels"", ""Sliding / Tilting Roof"", ""Metallic Paint"", ""Painted Bumpers"", ""Tinted Glass"", ""Rear Privacy Glass"", ""Electric Mirrors (and heated)"", ""Folding Exterior Mirrors"", ""Automatically Dimming Exterior Mirrors"", ""Direction Indicator In Exterior Mirrors"", ""Front Fog Lights"", ""Automatically Switching On Lighting"", ""Led Headlights"", ""Burglar Alarm"", ""Service: variabel / 2 year"", ""Net Price"", ""BPM (fixed)""]",False,False,False,False,False,5
1155,BMW,5 series,2020,2020 BMW 530e specs,530e,Sedan,"4-doors, sedan",4,5,gasoline,plugin hybrid,1998,4,naturally aspirated,Inline,215,292,420,automatic,8,rear,4963,1868,1483,2975,1810,235,5.9,17.0,10.0,10.0,39,63059.0,"[""ABS"", ""Brake Force Distribution"", ""Brake Assist"", ""Stability Control"", ""Traction Control"", ""Driver's Airbag"", ""Passenger Airbag"", ""Side Airbags (front)"", ""Head / Curtain Airbags (front & rear)"", ""Hill Assist"", ""Tire Pressure Sensor"", ""City ??safety System"", ""Precrash System"", ""High Beam Assistant"", ""Collision Warning System"", ""Central Door Locking"", ""Keyless Entry/start (start)"", ""Start Button"", ""Electric Windows (front & rear)"", ""Power Steering"", ""Cruise Control"", ""Air Conditioning (automatically)"", ""Left/right Temperature Control"", ""Parking Sensors (front & rear)"", ""Electric Parking Brake"", ""Start / Stop System"", ""Height Adjustment Seat (best. & pass.)"", ""Lumbar Support Seat"", ""Electric Adjustment Seat (with memory)"", ""Heated Seats"", ""Ventilated Seats"", ""Sports Seats"", ""Leather Covered Steering Wheel"", ""Adjustable Steering Wheel (height & depth)"", ""Heated Steering Wheel"", ""Leather Upholstery"", ""Rear Headrests"", ""Folding Rear Seats (in parts)"", ""Center Armrest (front & rear)"", ""Automatically Dimming Interior Mirror"", ""Reading Lamp(s) (front & rear)"", ""Illuminated Makeup Mirror"", ""Adjustable Dashboard Lighting"", ""Tachometer"", ""Day Counter"", ""Cooling Water Temperature Gauge"", ""Outside Temperature Gauge"", ""Board Computer"", ""Audio System"", ""Digital Radio (DAB)"", ""Steering Wheel Controls For Audio"", ""Audio Input (aux & usb)"", ""Navigation System (with color display)"", ""Bluetooth"", ""Interval Wiper (s) (with rain sensor)"", ""Alloy Wheels"", ""Sliding / Tilting Roof"", ""Metallic Paint"", ""Painted Bumpers"", ""Tinted Glass"", ""Rear Privacy Glass"", ""Electric Mirrors (and heated)"", ""Folding Exterior Mirrors"", ""Automatically Dimming Exterior Mirrors"", ""Direction Indicator In Exterior Mirrors"", ""Front Fog Lights"", ""Automatically Switching On Lighting"", ""Led Headlights"", ""Burglar Alarm"", ""Service: variabel / 2 year"", ""Net Price"", ""BPM (fixed)"", ""BPM (CO2)""]",False,True,False,False,False,5
2844,Ferrari,F8 Spider,2020,2020 Ferrari F8 Spider specs,specs,Convertible,"2-doors, convertible",2,4,gasoline,V 8-cylinder naturally aspirated gasoline,3902,8,naturally aspirated,V,529,720,770,automatic,7,rear,4611,1979,1206,2650,1400,340,2.9,10.0,10.0,10.0,232,321350.0,"[""ABS"", ""Brake Force Distribution"", ""Brake Assist"", ""Stability Control"", ""Traction Control"", ""Limited Slip Differential"", ""Driver's Airbag"", ""Passenger Airbag"", ""Side Airbags (front)"", ""Head / Curtain Airbags (front)"", ""Hill Assist"", ""Tire Pressure Sensor"", ""Central Door Locking"", ""Keyless Entry/start (start)"", ""Start Button"", ""Electric Windows (front)"", ""Power Steering"", ""Air Conditioning (automatically)"", ""Left/right Temperature Control"", ""Electric Parking Brake"", ""Height Adjustment Seat (best. & pass.)"", ""Lumbar Support Seat (best. & pass.)"", ""Sports Seats"", ""Leather Covered Steering Wheel"", ""Adjustable Steering Wheel (height & depth)"", ""Leather Upholstery"", ""Center Armrest (front)"", ""Reading Lamp(s) (front)"", ""Illuminated Makeup Mirror"", ""Adjustable Dashboard Lighting"", ""Tachometer"", ""Day Counter"", ""Cooling Water Temperature Gauge"", ""Outside Temperature Gauge"", ""Board Computer"", ""Audio System"", ""Digital Radio (DAB)"", ""Steering Wheel Controls For Audio"", ""Audio Input (aux & usb)"", ""Bluetooth"", ""Interval Wiper (s) (with rain sensor)"", ""Alloy Wheels"", ""Metallic Paint"", ""Painted Bumpers"", ""Tinted Glass"", ""Electric Mirrors (and heated)"", ""Folding Exterior Mirrors"", ""Front Fog Lights"", ""Automatically Switching On Lighting"", ""Xenon Headlights"", ""LED Rear Lighting"", ""Daytime Running Lights"", ""Headlamp Washers"", ""Burglar Alarm"", ""Net Price"", ""BPM (fixed)""]",False,False,False,True,False,
2849,Ferrari,SF90 Stradale,2020,2020 Ferrari SF90 Stradale specs,specs,Coupe,"2-doors, coupé",2,4,gasoline,plugin hybrid,3990,8,naturally aspirated,V,735,1000,800,automatic,8,front+rear,4710,1972,1186,2650,1570,340,2.5,10.0,10.0,10.0,232,455827.0,"[""ABS"", ""Brake Force Distribution"", ""Brake Assist"", ""Stability Control"", ""Traction Control"", ""Limited Slip Differential"", ""Driver's Airbag"", ""Passenger Airbag"", ""Side Airbags (front)"", ""Head / Curtain Airbags (front & rear)"", ""Tire Pressure Sensor"", ""Central Door Locking"", ""Keyless Entry/start (entry & start)"", ""Start Button"", ""Control Circuit"", ""Electric Windows (front)"", ""Power Steering"", ""Cruise Control"", ""Air Conditioning (automatically)"", ""Left/right Temperature Control"", ""Parking Sensors (rear)"", ""Reverse Camera"", ""Electric Parking Brake"", ""Start / Stop System"", ""Height Adjustment Seat (best. & pass.)"", ""Lumbar Support Seat (best. & pass.)"", ""Electric Adjustment Seat (with memory)"", ""Sports Seats"", ""Leather Covered Steering Wheel"", ""Adjustable Steering Wheel (height & depth)"", ""Leather Upholstery"", ""Rear Headrests"", ""Folding Rear Seats (in parts)"", ""Center Armrest (front & rear)"", ""Automatically Dimming Interior Mirror"", ""Reading Lamp(s) (front & rear)"", ""Illuminated Makeup Mirror"", ""Adjustable Dashboard Lighting"", ""Tachometer"", ""Day Counter"", ""Cooling Water Temperature Gauge"", ""Outside Temperature Gauge"", ""Board Computer"", ""Audio System"", ""Digital Radio (DAB)"", ""Steering Wheel Controls For Audio"", ""Audio Input (aux & usb)"", ""Navigation System (with color display)"", ""Bluetooth"", ""Interval Wiper (s) (with rain sensor)"", ""Alloy Wheels"", ""Metallic Paint"", ""Painted Bumpers"", ""Tinted Glass"", ""Rear Privacy Glass"", ""Electric Mirrors (and heated)"", ""Folding Exterior Mirrors"", ""Automatically Dimming Exterior Mirrors"", ""Front Fog Lights"", ""Automatically Switching On Lighting"", ""Xenon Headlights"", ""LED Rear Lighting"", ""Daytime Running Lights"", ""Headlamp Washers"", ""Burglar Alarm"", ""Net Price"", ""BPM (fixed)""]",False,True,False,True,False,
2183,Ford,Puma,2020,2020 Ford Puma 1.0 EcoBoost 125hp Titanium X specs,1.0 EcoBoost 125hp Titanium X,SUV,"5-doors, suv/crossover",5,5,gasoline,Inline 3-cylinder turbocharged gasoline,998,3,turbocharged,Inline,92,125,170,automatic,7,front+rear,4186,1805,1550,2588,1205,191,10.0,4.5,5.4,4.0,110,30305.0,"[""ABS"", ""Brake Force Distribution"", ""Brake Assist"", ""Emergency Braking Assistance"", ""Stability Control"", ""Traction Control"", ""Driver's Airbag"", ""Passenger Airbag"", ""Side Airbags (front)"", ""Head / Curtain Airbags (front & rear)"", ""Hill Assist"", ""Lane Assist"", ""Fatigue Sensor"", ""Tire Pressure Sensor"", ""City ??safety System"", ""Precrash System"", ""High Beam Assistant"", ""Traffic Sign Recognition"", ""Collision Warning System"", ""Central Door Locking"", ""Keyless Entry/start (start)"", ""Start Button"", ""Electric Windows (front & rear)"", ""Power Steering"", ""Cruise Control"", ""Air Conditioning (automatically)"", ""Parking Sensors (rear)"", ""Start / Stop System"", ""Height Adjustment Seat (best. & pass.)"", ""Lumbar Support Seat (driver)"", ""Sports Seats"", ""Leather Covered Steering Wheel"", ""Adjustable Steering Wheel (height & depth)"", ""Rear Headrests"", ""Folding Rear Seats (in parts)"", ""Center Armrest (front)"", ""Automatically Dimming Interior Mirror"", ""Reading Lamp(s) (front & rear)"", ""Illuminated Makeup Mirror"", ""Adjustable Dashboard Lighting"", ""Tachometer"", ""Day Counter"", ""Cooling Water Temperature Gauge"", ""Outside Temperature Gauge"", ""Board Computer"", ""Audio System"", ""Digital Radio (DAB)"", ""Audio Input (usb)"", ""Navigation System (with color display)"", ""Bluetooth"", ""Interval Wiper (s) (with rain sensor)"", ""Alloy Wheels"", ""Panoramic Roof"", ""Metallic Paint"", ""Painted Bumpers"", ""Tinted Glass"", ""Rear Privacy Glass"", ""Electric Mirrors (and heated)"", ""Folding Exterior Mirrors"", ""Direction Indicator In Exterior Mirrors"", ""Front Fog Lights"", ""Automatically Switching On Lighting"", ""Led Headlights"", ""LED Rear Lighting"", ""Daytime Running Lights"", ""Net Price"", ""BPM (fixed)""]",False,False,False,False,False,
2190,Ford,Puma,2020,2020 Ford Puma 1.0 EcoBoost 125hp ST-Line specs,1.0 EcoBoost 125hp ST-Line,SUV,"5-doors, suv/crossover",5,5,gasoline,Inline 3-cylinder turbocharged gasoline,998,3,turbocharged,Inline,92,125,170,automatic,7,front+rear,4186,1805,1550,2588,1205,191,10.0,4.5,5.4,4.0,110,29355.0,"[""ABS"", ""Brake Force Distribution"", ""Brake Assist"", ""Emergency Braking Assistance"", ""Stability Control"", ""Traction Control"", ""Driver's Airbag"", ""Passenger Airbag"", ""Side Airbags (front)"", ""Head / Curtain Airbags (front & rear)"", ""Hill Assist"", ""Lane Assist"", ""Tire Pressure Sensor"", ""City ??safety System"", ""Precrash System"", ""High Beam Assistant"", ""Traffic Sign Recognition"", ""Collision Warning System"", ""Central Door Locking"", ""Keyless Entry/start (start)"", ""Start Button"", ""Electric Windows (front & rear)"", ""Power Steering"", ""Cruise Control"", ""Air Conditioning (manually operated)"", ""Parking Sensors (rear)"", ""Start / Stop System"", ""Height Adjustment Seat (driver)"", ""Lumbar Support Seat (best. & pass.)"", ""Sports Seats"", ""Leather Covered Steering Wheel"", ""Adjustable Steering Wheel (height & depth)"", ""Rear Headrests"", ""Folding Rear Seats (in parts)"", ""Center Armrest (front)"", ""Reading Lamp(s) (front & rear)"", ""Illuminated Makeup Mirror"", ""Adjustable Dashboard Lighting"", ""Tachometer"", ""Day Counter"", ""Cooling Water Temperature Gauge"", ""Outside Temperature Gauge"", ""Board Computer"", ""Audio System"", ""Digital Radio (DAB)"", ""Audio Input (usb)"", ""Navigation System (with color display)"", ""Bluetooth"", ""Interval Wiper (s) (adjustable)"", ""Alloy Wheels"", ""Panoramic Roof"", ""Metallic Paint"", ""Painted Bumpers"", ""Tinted Glass"", ""Rear Privacy Glass"", ""Electric Mirrors (and heated)"", ""Folding Exterior Mirrors"", ""Direction Indicator In Exterior Mirrors"", ""Front Fog Lights"", ""Automatically Switching On Lighting"", ""Led Headlights"", ""LED Rear Lighting"", ""Daytime Running Lights"", ""Net Price"", ""BPM (fixed)""]",False,False,False,False,False,
3664,Honda,e,2020,2020 Honda E Advance specs,Advance,Hatchback,"3-doors, hatchback",3,5,electric,electric motor,,,,,113,154,315,automatic,,rear,3894,1752,1512,2530,1525,145,9.5,0.0,,,0,37500.0,"[""ABS"", ""Brake Force Distribution"", ""Brake Assist"", ""Blind Spot Assist"", ""Stability Control"", ""Traction Control"", ""Driver's Airbag"", ""Passenger Airbag"", ""Side Airbags (front)"", ""Head / Curtain Airbags (front & rear)"", ""Hill Assist"", ""Lane Assist"", ""Blind Spot Assistant"", ""Tire Pressure Sensor"", ""City ??safety System"", ""High Beam Assistant"", ""Traffic Sign Recognition"", ""Collision Warning System"", ""Central Door Locking"", ""Keyless Entry/start (entry & start)"", ""Start Button"", ""Electric Windows (front & rear)"", ""Power Steering"", ""Cruise Control (dynamisch)"", ""Air Conditioning (automatically)"", ""Parking Sensors (front & rear)"", ""Reverse Camera"", ""Parking Machine"", ""Electric Parking Brake"", ""Start / Stop System"", ""Height Adjustment Seat (driver)"", ""Heated Seats"", ""Leather Covered Steering Wheel"", ""Adjustable Steering Wheel (height & depth)"", ""Heated Steering Wheel"", ""Leather Upholstery"", ""Rear Headrests"", ""Folding Rear Seats (in parts)"", ""Reading Lamp(s) (front)"", ""Tachometer"", ""Day Counter"", ""Cooling Water Temperature Gauge"", ""Outside Temperature Gauge"", ""Board Computer"", ""Audio System"", ""Digital Radio (DAB)"", ""Steering Wheel Controls For Audio"", ""Audio Input (aux & usb)"", ""Navigation System (with color display)"", ""Bluetooth"", ""Interval Wiper (s) (with rain sensor)"", ""Alloy Wheels"", ""Panoramic Roof"", ""Metallic Paint"", ""Painted Bumpers"", ""Tinted Glass"", ""Automatically Switching On Lighting"", ""Led Headlights"", ""LED Rear Lighting"", ""Daytime Running Lights"", ""Burglar Alarm"", ""Service: n.b. / - year"", ""Net Price"", ""BPM (fixed)""]",True,False,False,False,False,
